No.,英単語,日本語訳,
752,coordinate,（全体をまとめるよう）を調査する,stage4
753,subordinate,（職場の）部下,stage4
754,ironic,皮肉な,stage4
755,unanimous,満場一致での,stage4
756,struggle,もがきながら進む,stage4
757,strategy,戦略,stage4
758,uneasy,不安な,stage4
759,logically,論理的に,stage4
760,biology,生物学,stage4
761,witness,"目撃者,証人,を目撃する",stage4
762,geology,地質学,stage4
763,comparable,（量や性能などが）匹敵する,stage4
764,spoil,を台無しにする,stage4
765,sanitation,（公衆）衛生,stage4
766,insane,正気でない,stage4
767,virtue,"美徳,利点",stage4
768,respectable,（社会的に）きちとした,stage4
769,inspection,検査,stage4
770,attach,をくっつける,stage4
771,ingredient,"（料理の）材料,（ある事柄の）要因",stage4
772,canal,運河,stage4
773,faithful,（宗教、人、信念などに）忠実な,stage4
774,defy,に（公然と）反抗する,stage4
775,explicit,はっきりとしている,stage4
776,innocent,無実の,stage4
777,nuisance,迷惑になること（もの）,stage4
778,delay,（公共交通手段）を遅らせる,stage4
779,compromise,"妥協,妥協する",stage4
780,vital,極めて重要な,stage4
781,vigorous,元気はつらつとした,stage4
782,distort,を歪める,stage4
783,torture,拷問,stage4
784,anonymous,匿名の,stage4
785,antonym,反意語,stage4
786,renowned,（何かに秀でているために）有名な,stage4
787,nutritious,栄養がある,stage4
788,assimilate,を吸収する,stage4
789,game,（狩猟の）獲物,stage4
790,irrigation,灌漑,stage4
791,yield,"を生み出す,（＋,to）,屈する",stage4
792,supplementary,補助の,stage4
793,permanent,ずっと残っている,stage4
794,stir,"をかき回す,を呼び起こす",stage4
795,framework,枠組み,stage4
796,"correspond,with",と一致する,stage4
797,ban,を（公式に）禁止する,stage4
798,abandon,"（希望、計画）を断念する,（国、車、家族）を置き去りにする",stage4
799,greedy,どん欲な,stage4
800,deliberately,故意に,stage4
801,drag,を引きずっていく,stage4
802,draft,草案,stage4
803,textile,織物,stage4
804,context,"文脈,（できごとなどの）状況",stage4
805,subtle,微妙な,stage4
806,"contrary,to",とは逆に,stage5
807,contradictory,矛盾した,stage5
808,disclose,（情報、身元など）を暴露する,stage5
809,betray,を売り渡す,stage5
810,enhance,をさらに高める,stage5
811,enforce,（法律、規則など）を人に守らせる,stage5
812,enlighten,を説明する,stage5
813,rebel,反逆者,stage5
814,designate,（特別地区などに）を指定する,stage5
815,compassion,（弱者に対する）強い哀れみの情,stage5
816,dictate,（伝統や法則が）を規定している,stage5
817,dedicate,（全身全霊で）を捧げる,stage5
818,addict,を中毒にさせる,stage5
819,cite,（立証のためなどに）を引用する,stage5
820,tragedy,悲劇,stage5
821,demonstrate,（実証することではっきりと）〜を示す,stage5
822,meditate,瞑想する,stage5
823,summon,を召喚する,stage5
824,initiative,主導権,stage5
825,transition,推移,stage5
826,perish,（不慮の事故、災害、戦争などで）死ぬ,stage5
827,abuse,"を乱用する,を虐待する",stage5
828,"intend,to,(V)",Vする意図がある,stage5
829,contend,争う,stage5
830,archeology,考古学,stage5
831,obscure,不鮮明な,stage5
832,oriented,（名詞＋orientedで）〜指向の,stage5
833,vulnerable,すぐに傷つく,stage5
834,plague,（大規模な）疫病,stage5
835,"be,intent,on","に専念している,と決意している",stage5
836,timid,臆病な,stage5
837,"vice,versa",逆もまた真である,stage5
838,underlying,根底にある,stage5
839,astronaut,宇宙飛行士,stage5
840,immortal,不死身の,stage5
841,soak,"（液体に）〜をつける,を浸す",stage5
842,prospect,将来の見込み,stage5
843,perspective,（全体的なものの）見方,stage5
844,conspicuous,目立つ,stage5
845,speculate,（結果がどうなるかを考えるため）憶測する,stage5
846,approximately,おおよそ,stage5
847,imperative,ぜひとも必要な,stage5
848,hollow,中が空洞の,stage5
849,outcome,（会議、交渉、議論、戦争などの最終）結果,stage5
850,"resort,to",に訴える,stage5
851,recession,景気の後退,stage5
852,"A,precede,B",Aの後にBが登場する,stage5
853,exceed,"（数量、限度）を超える,〜より勝る",stage5
854,concede,（公式に自分の非や敗北など）を認める,stage5
855,drastic,抜本的な,stage5
856,diplomatic,外交上の,stage5
857,"comply,with",（規則、法令）を遵守する,stage5
858,compliment,褒め言葉,stage5
859,anthropology,人類学,stage5
860,fierce,どう猛な,stage5
861,solitary,一人の,stage5
862,obsolete,すたれた,stage5
863,linger,"長居する,（病気などが）長引く",stage5
864,longitude,経度,stage5
865,crucial,重大な,stage5
866,possess,（貴重なものや才能など）を所有している,stage5
867,"be,obsessed,with",に取り憑かれている,stage5
868,acute,"（病気が）急性の,（感情などが）強い",stage5
869,vertical,垂直の,stage5
870,contempt,軽蔑,stage5
871,decay,"（モノの）腐敗,腐敗する",stage5
872,interrupt,を中断する,stage5
873,corrupt,（道徳的に）堕落した,stage5
874,bankrupt,破産した,stage5
875,erupt,（火山が）噴火する,stage5
876,abrupt,突然の予期せぬ,stage5
877,scheme,"（公の利益のためになる）計画,たくらみ",stage5
878,conceive,（新しい考えや計画など）を思い浮かべる.（＋of~）思い浮かべる,stage5
879,conceited,うぬぼれている,stage5
880,hinder,を妨げる,stage5
881,inherit,（財産、性質、体質など）を受け継ぐ,stage5
882,inherent,元々ある、固有の,stage5
883,"hesitate,to,(V)",Vすることをためらう,stage5
884,ridiculous,バカげた,stage5
885,monotonous,単調な,stage5
886,monopoly,独占（権）,stage5
887,reconcile,を和解させる,stage5
888,eloquent,雄弁な,stage5
889,intuition,直感,stage5
890,"the,Atlantic",大西洋,stage5
891,whereas,〜だけれど,stage5
892,hypothesis,仮説,stage5
893,optimistic,楽観的な,stage5
894,pessimistic,悲観的な,stage5
895,impair,（資格、聴力、思考力など）を低下させる,stage5
896,arbitrary,独断な,stage5
897,"cling,to",〜にくっつく,stage5
898,inevitable,避けられない,stage5
899,lament,を悼む,stage5
900,generate,を生み出す,stage5
901,generous,気前が良い,stage5
902,spontaneous,自然（発生的）な,stage5
903,illustrate,（具体例を挙げて）を説明する,stage5
904,conservative,保守的な,stage5
905,incident,（通例主要な出来事に関連して起きる付随的な）出来事,stage5
906,"coincide,with",と同時に起きる,stage5
907,"be,preoccupied,with",で頭がいっぱいだ,stage5
908,hostile,敵意のある,stage5
909,hospitality,（客に対する）もてなし,stage5
910,restrain,を制御する,stage5
911,irrelevant,無関係な,stage5
912,transplant,を移植する,stage5
913,primitive,原始的な,stage5
914,juvenile,青少年の,stage5
915,flourish,（比較的な意味で）花開く,stage5
916,calamity,災難,stage5
917,prosperity,繁栄,stage5
918,despair,絶望,stage5
919,tedious,（ダラダラと続いて）退屈な,stage5
920,inhabitant,住民,stage5
921,"refrain,from",を控える,stage5
922,"adhere,to",（規則、主義など）を固く守る,stage5
923,coherent,（話や文章の）論旨が一貫している,stage5
924,hierarchy,階層構造,stage5
925,obstacle,障害,stage5
926,agony,（激しい）苦痛,stage5
927,arrogant,傲慢な,stage5
928,soothing,心を落ち着かせる,stage5
929,prevail,（考え、知らせ等が）普及する,stage5
930,conquer,を征服する,stage5
931,"A,confront,B",AがBに立ちはだかる,stage5
932,astonish,（ひどく）を驚かせる,stage5
933,diminish,減少する,stage5
934,nourish,に繁栄を与える,stage5
935,miserable,惨めな,stage5
936,tolerate,（相手の過失や物事、人）を大目に見る,stage5
937,circulate,循環する,stage5
938,calculate,（高度で複雑な数学を用いて正確に）を計算する,stage5
939,eliminate,（不必要なもの）を排除する,stage5
940,contemplate,（深く、真剣に）を熟考する,stage5
941,feature,（特に目立つ）特徴、特集,stage5
942,feat,偉業,stage5
943,breakthrough,（学問上の）重大な発見,stage5
944,coward,臆病者,stage5
945,complex,（様々な要素を含んで）複雑な,stage5
946,perplex,を戸惑わせる,stage5
947,descend,（飛行機などが）降下する,stage5
948,shortcoming,（人、モノの）欠点,stage5
949,ambassador,大使,stage5
950,applause,拍手,stage5
951,explode,爆発する,stage5
952,perpetual,間断ない,stage5
953,embody,（思想、原理など）を具体的に示す,stage5
954,cherish,を大切にする,stage5
955,absurd,バカげている,stage5
956,encyclopedia,百科事典,stage5
957,formula,（数学、化学の）公式、式,stage5
958,numerous,多くの,stage5
959,multiply,"増大する,をかなり増やす",stage5
960,cease,を止める,stage5
961,adore,を熱愛している,stage5
962,"endeavor,to,(V)",Vすることを大いに努力する,stage5
963,analogy,類似性,stage5
964,threat,脅威,stage5
965,offspring,（人間、動物の）子孫,stage5
966,particle,粒子,stage5
967,dignity,威厳,stage5
968,remedy,"（ちょっとした病気の）治療薬,治療法",stage5
969,assert,と断定する,stage5
970,peculiar,独特な,stage5
971,cultivate,を耕す,stage5
972,patriotic,愛国心が強い,stage5
973,famine,飢饉,stage5
974,exploit,（資源、エネルギー、可能性など）を徹底的に利用する,stage5
975,undergo,を経験する,stage5
976,collapse,崩壊する,stage5
977,swallow,（考えなど）を鵜呑みにする,stage5
978,contaminate,（化学物質や放射線や毒で）を汚染する,stage5
979,integral,不可欠な,stage5
980,surrender,"降参する,（力に屈して）を捨てる",stage5
981,decent,（ある基準を満たすような）まともな,stage5
982,dialect,方言,stage5
983,pastime,娯楽,stage5
984,scatter,をばらまく,stage5
985,degrade,の品位を下げる,stage5
986,deteriorate,悪化する,stage5
987,tyranny,暴政,stage5
988,savage,"非人道的な,容赦ない",stage5
989,orbit,（惑星などの周回）軌道,stage5
990,ardent,（ある活動などに）熱狂的な,stage5
991,prudent,（将来の危険を回避することができるほど）賢明な,stage5
992,restrict,（数量、範囲）を制限する,stage5
993,prestige,威信,stage5
994,fragment,破片,stage5
995,"plunge,into",に突っ込む,stage5
996,reckless,無謀な,stage5
997,penetrate,を貫通する,stage5
998,scrutinize,（人、モノ）を徹底的に調査する,stage5
999,grace,優雅さ,stage5
1000,gratitude,感謝,stage5
