No,英語,日本語,単元
885,weight,体重,Unit９
886,fat,太った,Unit９
887,thin,やせた,Unit９
888,slim,ほっそりした/スリムな,Unit９
889,ugly,醜い/不格好な,Unit９
890,thirsty,喉の渇いた,Unit９
891,tear,涙,Unit９
892,sweat,汗,Unit９
893,hospital,病院,Unit９
894,ambulance,救急車,Unit９
895,wheelchair,車椅子,Unit９
896,patient,患者,Unit９
897,disease,病気,Unit９
898,illness,病気,Unit９
899,ill,病気で/気分が悪い,Unit９
900,pain,痛み,Unit９
901,injure,傷つける/痛める,Unit１０
902,headache,頭痛,Unit１０
903,cancer,癌,Unit１０
904,breathe,呼吸する,Unit１０
905,touch,触れる,Unit１０
906,pat,（手のひらで）軽くたたく,Unit１０
907,shout,叫ぶ/大声で話す,Unit１０
908,scream,金切り声を出す,Unit１０
909,whisper,ささやく,Unit１０
910,bow,おじぎをする,Unit１０
911,bend,かがむ,Unit１０
912,forehead,額,Unit１０
913,cheek,頬,Unit１０
914,lip,唇,Unit１０
915,tooth,歯,Unit１０
916,throat,喉,Unit１０
917,shoulder,肩,Unit１０
918,chest,胸,Unit１０
919,elbow,肘,Unit１０
920,finger,（手の）指,Unit１０
921,thumb,（手の）親指,Unit１０
922,nail,爪,Unit１０
923,toe,（足の）指/つま先,Unit１０
924,ankle,足首,Unit１０
925,skin,皮膚/肌,Unit１０
926,brain,脳,Unit１０
927,heart,心臓,Unit１０
928,stomach,胃,Unit１０
929,blood,血液,Unit１０
930,bone,骨,Unit１０
931,muscle,筋肉,Unit１０
932,emotion,感情,Unit１０
933,mind,心/精神,Unit１０
934,mental,心の/精神の,Unit１０
935,pleasant,楽しい,Unit１０
936,suffer,苦しむ,Unit１０
937,upset,取り乱して/動転して,Unit１０
938,nervous,心配して/緊張して,Unit１０
939,lonely,孤独な/ひとりぼっちの,Unit１０
940,shocked,ショックを受けた,Unit１０
941,stress,ストレス,Unit１０
942,mad,怒って,Unit１０
943,anger,怒り,Unit１０
944,joy,喜び,Unit１０
945,relaxed,くつろいだ,Unit１０
946,fear,恐怖,Unit１０
947,panic,パニック,Unit１０
948,character,性格,Unit１０
949,humor,ユーモア,Unit１０
950,frank,率直な,Unit１０
951,cheerful,元気な/陽気な,Unit１０
952,friendly,親切な/好意的な,Unit１０
953,gentle,優しい,Unit１０
954,calm,落ち着いた,Unit１０
955,lively,元気な/活発な,Unit１０
956,shy,恥ずかしがりの,Unit１０
957,strict,厳しい/厳格な,Unit１０
958,positive,前向きの/積極的な,Unit１０
959,negative,後ろ向きの/消極的な,Unit１０
960,active,活動的な/活発な,Unit１０
961,lazy,怠惰な,Unit１０
962,communication,コミュニケーション/意思伝達,Unit１０
963,greet,挨拶する,Unit１０
964,conversation,会話,Unit１０
965,chat,おしゃべりする,Unit１０
966,text,メッセージを送る,Unit１０
967,e-mail,Eメール,Unit１０
968,address,住所/アドレス,Unit１０
969,translate,翻訳する,Unit１０
970,argue,口論する/言い争う,Unit１０
971,claim,主張する,Unit１０
972,insist,強く主張する,Unit１０
973,praise,ほめる/賞賛する,Unit１０
974,debate,討論/ディベート,Unit１０
975,blame,非難する,Unit１０
976,joke,冗談,Unit１０
977,pronounce,発音する,Unit１０
978,express,言い表す,Unit１０
979,state,はっきりと述べる,Unit１０
980,define,定義する,Unit１０
981,describe,特徴を述べる,Unit１０
982,refer,言及する,Unit１０
983,predict,予測する/予言する,Unit１０
984,comment,論評/コメント,Unit１０
985,term,用語/専門用語,Unit１０
986,publish,出版する,Unit１０
987,novel,小説,Unit１０
988,fiction,フィクション/作り話,Unit１０
989,essay,小論文/エッセイ,Unit１０
990,newspaper,新聞,Unit１０
991,magazine,雑誌,Unit１０
992,journal,専門誌,Unit１０
993,article,記事,Unit１０
994,title,題名/タイトル,Unit１０
995,poem,詩,Unit１０
996,tale,話/物語,Unit１０
997,chapter,章,Unit１０
998,education,教育,Unit１０
999,knowledge,知識,Unit１０
1000,intelligent,知能の高い,Unit１０
1001,logic,論理,Unit１１
1002,talent,才能,Unit１１
1003,master,習得する,Unit１１
1004,solve,解く/解決する,Unit１１
1005,review,復習する/論評する,Unit１１
1006,textbook,教科書,Unit１１
1007,dictionary,辞書,Unit１１
1008,lecture,講義,Unit１１
1009,subject,科目,Unit１１
1010,mathematics,数学,Unit１１
1011,biology,生物学,Unit１１
1012,elementary,初等の,Unit１１
1013,college,大学,Unit１１
1014,university,総合大学,Unit１１
1015,scholar,学者,Unit１１
1016,enter,入学する/入る,Unit１１
1017,attend,出席する,Unit１１
1018,absent,欠席の,Unit１１
1019,graduate,卒業する,Unit１１
1020,grade,成績/評点,Unit１１
1021,quiz,小テスト,Unit１１
1022,homework,宿題,Unit１１
1023,science,科学,Unit１１
1024,chemical,化学の,Unit１１
1025,experiment,実験,Unit１１
1026,element,元素,Unit１１
1027,oxygen,酸素,Unit１１
1028,technology,科学技術,Unit１１
1029,advance,進歩,Unit１１
1030,machine,機械,Unit１１
1031,automatic,自動の,Unit１１
1032,invent,発明する,Unit１１
1033,operate,操作する,Unit１１
1034,artificial,人工の,Unit１１
1035,web,ウェブ,Unit１１
1036,material,材料/原料,Unit１１
1037,resource,資源,Unit１１
1038,energy,エネルギー,Unit１１
1039,electricity,電気/電力,Unit１１
1040,battery,バッテリー/電池,Unit１１
1041,oil,石油,Unit１１
1042,gas,ガス,Unit１１
1043,coal,石炭,Unit１１
1044,metal,金属,Unit１１
1045,steel,鋼鉄,Unit１１
1046,nuclear,核の/原子力の,Unit１１
1047,universe,宇宙,Unit１１
1048,planet,惑星,Unit１１
1049,astronaut,宇宙飛行士,Unit１１
1050,earth,地球/地面,Unit１１
1051,cash,現金,Unit１１
1052,earn,（お金を）得る,Unit１１
1053,reward,報酬,Unit１１
1054,income,収入,Unit１１
1055,budget,予算,Unit１１
1056,tax,税金,Unit１１
1057,consume,消費する,Unit１１
1058,benefit,利益/恩恵,Unit１１
1059,wealth,富/財産,Unit１１
1060,price,価格,Unit１１
1061,cheap,安い,Unit１１
1062,reasonable,（値段が）手頃な,Unit１１
1063,sale,特売,Unit１１
1064,charge,（サービスへの）料金,Unit１１
1065,advertisement,広告,Unit１１
1066,commercial,営利的な/商業的な,Unit１１
1067,trade,貿易/取引,Unit１１
1068,import,輸入する,Unit１１
1069,export,輸出する,Unit１１
1070,factory,工場,Unit１１
1071,agriculture,農業,Unit１１
1072,society,社会,Unit１１
1073,community,地域社会,Unit１１
1074,organization,組織/団体,Unit１１
1075,committee,委員会,Unit１１
1076,charity,慈善事業,Unit１１
1077,citizen,国民/市民,Unit１１
1078,duty,義務,Unit１１
1079,law,法律,Unit１１
1080,judge,裁判官,Unit１１
1081,court,法廷/裁判所,Unit１１
1082,guard,警戒/見張り,Unit１１
1083,arrest,逮捕する,Unit１１
1084,punish,罰する,Unit１１
1085,crime,犯罪,Unit１１
1086,murder,殺人/殺人事件,Unit１１
1087,shoot,（銃で）撃つ,Unit１１
1088,steal,盗む,Unit１１
1089,rob,奪う,Unit１１
1090,thief,泥棒,Unit１１
1091,victim,犠牲者,Unit１１
1092,drug,薬物,Unit１１
1093,poverty,貧困,Unit１１
1094,government,政府,Unit１１
1095,policy,政策/方針,Unit１１
1096,nation,国家,Unit１１
1097,capital,首都,Unit１１
1098,international,国際的な/国家間の,Unit１１
1099,global,全世界の/地球全体の,Unit１１
1100,election,選挙,Unit１１
1101,vote,投票をする,Unit１２
1102,president,大統領,Unit１２
1103,liberty,自由,Unit１２
1104,fight,戦う,Unit１２
1105,war,戦争/戦争状態,Unit１２
1106,military,軍の/軍隊の,Unit１２
1107,army,軍隊/陸軍,Unit１２
1108,soldier,兵士,Unit１２
1109,weapon,武器/兵器,Unit１２
1110,bomb,爆弾,Unit１２
1111,break out,突然起こる/勃発する,Unit１２
1112,come across,〜に偶然会う/〜をふと見つける,Unit１２
1113,come out,発売される,Unit１２
1114,come up with,〜を思いつく,Unit１２
1115,count on [upon],〜に頼る/〜を当てにする,Unit１２
1116,cut down [back] on,〜を減らす,Unit１２
1117,die out,（消えて）なくなる/絶滅する,Unit１２
1118,drop in [on],ちょっと訪れる,Unit１２
1119,feel free to,自由に…する,Unit１２
1120,get along (with),仲よくやっている,Unit１２
1121,get out of,〜から逃れる,Unit１２
1122,get over,〜から回復する/立ち直る,Unit１２
1123,get through,〜を切り抜ける,Unit１２
1124,give way (to),譲歩する/屈する,Unit１２
1125,go along with,〜に賛成する/を支持する,Unit１２
1126,head for,〜に向かう,Unit１２
1127,keep [bear] in mind,〜を心に留めておく,Unit１２
1128,keep [stay] in touch (with),連絡を取り続ける,Unit１２
1129,learn (how) to,…できるようになる,Unit１２
1130,look back (on),回想する/振り返る,Unit１２
1131,look into,〜を調査する,Unit１２
1132,look over,〜をざっと調べる/〜に目を通す,Unit１２
1133,look up to,〜を尊敬する,Unit１２
1134,make a difference (to),影響がある/重要である,Unit１２
1135,make [earn] a living,生計を立てる,Unit１２
1136,make up,〜を構成する,Unit１２
1137,pass away,亡くなる,Unit１２
1138,point out,〜を指摘する,Unit１２
1139,put off,〜を延期する,Unit１２
1140,put together,〜を組み立てる/まとめ上げる,Unit１２
1141,put up with,〜を我慢する,Unit１２
1142,run after,〜を追いかける,Unit１２
1143,run away (from),逃げる,Unit１２
1144,run out of,〜を使い果たす,Unit１２
1145,stand for,〜を意味する/〜の略称である,Unit１２
1146,stand out,ずば抜けている,Unit１２
1147,take A for B,AをBだと思う,Unit１２
1148,take place,起こる/行われる,Unit１２
1149,take up,〜を始める,Unit１２
1150,work on,〜に取り組む,Unit１２
1151,all at once,（予期せず）突然,Unit１２
1152,all the way,はるばる/ずっと,Unit１２
1153,along with,〜と一緒に/〜に加えて,Unit１２
1154,at least,少なくとも,Unit１２
1155,at (the) most,せいぜい/多くても,Unit１２
1156,by way of,〜を通って,Unit１２
1157,for some time,かなり長い間,Unit１２
1158,face to face (with),面と向かって,Unit１２
1159,first of all,まず第一に,Unit１２
1160,in advance,あらかじめ/〜前に,Unit１２
1161,in all,全部で,Unit１２
1162,in place of,〜の代わりに,Unit１２
1163,in return (for),お返しに,Unit１２
1164,in the long run,長い目で見れば,Unit１２
1165,in time (for),間に合うように/遅れずに,Unit１２
1166,on sale,販売されて,Unit１２
1167,on time,時間通りに/定刻に,Unit１２
1168,one by one,１つずつ/１人ずつ,Unit１２
1169,out of the question,論外で/不可能で,Unit１２
1170,side by side (with),（横に）並んで,Unit１２
1171,become,になる,Unit１２
1172,turn,になる/変わる,Unit１２
1173,remain,のままである,Unit１２
1174,smell,のにおいがする,Unit１２
1175,taste,の味がする,Unit１２
1176,take,連れて行く/持って行く,Unit１２
1177,put,置く/入れる,Unit１２
1178,set,置く/配置する,Unit１２
1179,spread,広げる,Unit１２
1180,fold,折る/折りたたむ,Unit１２
1181,show,見せる/示す,Unit１２
1182,give,与える/あげる,Unit１２
1183,choose,選ぶ,Unit１２
1184,pay,支払う,Unit１２
1185,leave,残しておく,Unit１２
1186,offer,申し出る,Unit１２
1187,bring,持ってくる/連れてくる,Unit１２
1188,send,送る,Unit１２
1189,pass,手渡す,Unit１２
1190,sell,売る,Unit１２
1191,draw,描く/引く,Unit１２
1192,owe,にお金を借りている,Unit１２
1193,lend,貸す,Unit１２
1194,envy,うらやむ,Unit１２
1195,make,（ある状態）にする,Unit１２
1196,find,見つける、気づく,Unit１２
1197,keep,保つ,Unit１２
1198,call,と呼ぶ,Unit１２
1199,know,知っている,Unit１２
1200,understand,理解する/わかる,Unit１２
1201,believe,信じる/信用する,Unit１３
1202,notice,気づく,Unit１３
1203,exist,存在する,Unit１３
1204,discuss,について議論する,Unit１３
1205,agree,意見が一致する,Unit１３
1206,disagree,意見が異なる,Unit１３
1207,raise,上げる,Unit１３
1208,rise,上がる,Unit１３
1209,approach,近づく/接近する,Unit１３
1210,complain,不平［苦情］を言う,Unit１３
1211,lie,横たわる/ある,Unit１３
1212,lay,横たえる/置く,Unit１３
1213,marry,と結婚する,Unit１３
1214,order,命じる,Unit１３
1215,demand,要求する,Unit１３
1216,request,頼む/要請する,Unit１３
1217,seem,のように思える,Unit１３
1218,appear,のように見える［思える］,Unit１３
1219,prove,と判明する,Unit１３
1220,tell,伝える/言う,Unit１３
1221,expect,予期［予想］する,Unit１３
1222,warn,に警告［注意］する,Unit１３
1223,forbid,禁ずる,Unit１３
1224,feel,感じる,Unit１３
1225,hear,が聞こえる,Unit１３
1226,watch,（じっと）見る,Unit１３
1227,decide,決める,Unit１３
1228,manage,何とかやり遂げる,Unit１３
1229,promise,約束する,Unit１３
1230,afford,の余裕がある,Unit１３
1231,pretend,ふりをする,Unit１３
1232,refuse,断る/拒否する,Unit１３
1233,consider,よく考える,Unit１３
1234,stop,やめる,Unit１３
1235,finish,終える,Unit１３
1236,avoid,避ける,Unit１３
1237,imagine,想像する,Unit１３
1238,escape,逃れる/免れる,Unit１３
1239,quit,やめる,Unit１３
1240,dislike,嫌う,Unit１３
1241,start,始める/出発する,Unit１３
1242,begin,始める,Unit１３
1243,continue,続ける,Unit１３
1244,prefer,の方を好む,Unit１３
1245,hate,ひどく嫌う/憎む,Unit１３
1246,try,試みる,Unit１３
1247,remember,覚えている/思い出す,Unit１３
1248,forget,忘れる,Unit１３
1249,regret,後悔する,Unit１３
1250,air,空気/大気,Unit１３
1251,cloth,布/布地,Unit１３
1252,paper,紙,Unit１３
1253,iron,鉄/鉄分,Unit１３
1254,audience,聴衆/観客,Unit１３
1255,police,警察官,Unit１３
1256,staff,スタッフ/職員,Unit１３
1257,furniture,家具,Unit１３
1258,stuff,（漠然と）物/こと,Unit１３
1259,baggage,手荷物,Unit１３
1260,information,情報,Unit１３
1261,ability,能力,Unit１３
1262,advice,助言/忠告,Unit１３
1263,beauty,美/美しさ,Unit１３
1264,death,死,Unit１３
1265,freedom,自由,Unit１３
1266,peace,平和,Unit１３
1267,customer,（店の）客/顧客,Unit１３
1268,guest,（招待）客/ゲスト,Unit１３
1269,habit,（個人の）習慣/癖,Unit１３
1270,custom,（社会的）慣習/風習,Unit１３
1271,fee,（入場・加入などの）料金/会費,Unit１３
1272,fare,（交通機関の）運賃/料金,Unit１３
1273,appointment,（面会の）約束/（医者などの）予約,Unit１３
1274,idea,考え/アイデア,Unit１３
1275,fact,事実/現実,Unit１３
1276,feeling,気持ち/感情,Unit１３
1277,evidence,証拠,Unit１３
1278,other,もう一方,Unit１３
1279,another,別の物［人］,Unit１３
1280,each,それぞれ,Unit１３
1281,both,両方,Unit１３
1282,either,（二者のうち）どちらか/どちらでも,Unit１３
1283,neither,（二者のうち）どちらも…ない,Unit１３
1284,none,どれ［誰］も…ない,Unit１３
1285,something,何か,Unit１３
1286,anything,何も（〜ない）/何か/何でも,Unit１３
1287,nothing,何も〜ない,Unit１３
1288,everything,すべての物［こと］,Unit１３
1289,everyone,みんな/誰でも,Unit１３
1290,someone,誰か/ある人,Unit１３
1291,anyone,誰か/誰も（〜ない）/誰でも,Unit１３
1292,nobody,誰も〜ない,Unit１３
1293,main,主な/主要な,Unit１３
1294,daily,毎日の/日々の,Unit１３
1295,alone,ただ１人で,Unit１３
1296,aware,気づいて,Unit１３
1297,awake,目が覚めて,Unit１３
1298,asleep,眠って,Unit１３
1299,alive,生きて（いる）,Unit１３
1300,alike,似ている/同様な,Unit１３
1301,right,右の/正しい,Unit１４
1302,present,現在の/出席して,Unit１４
1303,certain,ある〜/確信して,Unit１４
1304,interested,興味を持って,Unit１４
1305,surprised,驚いて,Unit１４
1306,tired,飽きて/うんざりして,Unit１４
1307,pleased,喜んで,Unit１４
1308,satisfied,満足して,Unit１４
1309,bored,退屈して/うんざりして,Unit１４
1310,excited,興奮して/わくわくして,Unit１４
1311,confused,困惑［混乱］して,Unit１４
1312,scared,怖がって,Unit１４
1313,able,できる,Unit１４
1314,likely,ありそうな,Unit１４
1315,sure,確信して,Unit１４
1316,ready,準備［用意］のできた,Unit１４
1317,eager,熱望して,Unit１４
1318,polite,礼儀正しい/丁寧な,Unit１４
1319,clever,利口な,Unit１４
1320,brave,勇敢な,Unit１４
1321,wise,賢明な/賢い,Unit１４
1322,rude,失礼な,Unit１４
1323,silly,愚かな/ばかげた,Unit１４
1324,foolish,愚かな/ばかげた,Unit１４
1325,stupid,愚かな/ばかげた,Unit１４
1326,careless,不注意な,Unit１４
1327,important,重要な,Unit１４
1328,necessary,必要な,Unit１４
1329,proper,正当な/当然な,Unit１４
1330,strange,奇妙な/不思議な,Unit１４
1331,wrong,間違った,Unit１４
1332,few,（可算名詞の前で）ほとんどない,Unit１４
1333,little,（不可算名詞の前で）ほとんどない,Unit１４
1334,late,遅れた/遅く/遅れて,Unit１４
1335,far,遠い方の/遠くに［へ］,Unit１４
1336,hard,難しい/困難な/懸命に/熱心に,Unit１４
1337,fast,速い/素早い/速く,Unit１４
1338,deep,深い/深く,Unit１４
1339,direct,直接の/直接に/まっすぐ,Unit１４
1340,well,健康で/十分に/よく,Unit１４
1341,wide,広い/大きく/すっかり,Unit１４
1342,pretty,かわいい/かなり,Unit１４
1343,sharp,鋭い/とがった/ちょうど/きっかり,Unit１４
1344,just,たった今/ちょうど（〜したばかり）,Unit１４
1345,already,もう/すでに,Unit１４
1346,recently,（ここ）最近,Unit１４
1347,lately,（ここ）最近,Unit１４
1348,yet,まだ（〜ない）,Unit１４
1349,ever,これまでに/かつて,Unit１４
1350,twice,２度/２回,Unit１４
1351,only,だけ/しか（〜ない）,Unit１４
1352,always,いつも/必ず,Unit１４
1353,sometimes,時々,Unit１４
1354,usually,たいてい/ふつうは,Unit１４
1355,nearly,ほとんど/ほぼ,Unit１４
1356,hardly,（程度が）ほとんど〜ない,Unit１４
1357,while,…している間,Unit１４
1358,unless,…でない限り/もし…でなければ,Unit１４
1359,nor,もまた（…ない）,Unit１４
1360,whatever,何が［を］…しようとも,Unit１４
1361,whichever,どちらが［を］…しようとも,Unit１４
1362,whenever,…するときはいつでも/…するたびに,Unit１４
1363,wherever,…する所ならどこでも,Unit１４
1364,cause,を引き起こす,Unit１４
1365,allow,を可能にする,Unit１４
1366,enable,を可能にする,Unit１４
1367,prevent,を妨げる/中止させる,Unit１４
1368,force,を強いる,Unit１４
1369,cost,（金額・費用が）かかる,Unit１４
1370,remind,に思い出させる,Unit１４
1371,believe in,〜の存在を信じる,Unit１４
1372,bring out,〜を引き出す,Unit１４
1373,bring up,〜を育てる,Unit１４
1374,call for,〜を必要とする,Unit１４
1375,call off,〜を中心する/取り消す,Unit１４
1376,decide on [upon],〜に決める,Unit１４
1377,feel like (-ing),…したい気がする,Unit１４
1378,give up (-ing),…することをやめる/諦める,Unit１４
1379,go on (-ing),…し続ける,Unit１４
1380,have [be] nothing to do with,〜と何も関係がない,Unit１４
1381,lie in [with],（責任・問題などが）〜にある,Unit１４
1382,make it,うまくいく/成功する,Unit１４
1383,make oneself understood,自分の考えが（相手に）通じる,Unit１４
1384,pass on,伝える/渡す,Unit１４
1385,put away,〜を片付ける,Unit１４
1386,put on,〜を身につける/着る,Unit１４
1387,show up,（人が）現れる/やって来る,Unit１４
1388,take [have] a walk,散歩する,Unit１４
1389,take time (to do),（…するのに）時間がかかる,Unit１４
1390,tell A from B,AとBを区別する,Unit１４
1391,throw away,〜を捨てる,Unit１４
1392,try on,〜を試着する,Unit１４
1393,turn A into B,AをBに変える,Unit１４
1394,turn off,〜を切る/消す,Unit１４
1395,turn on,〜をつける,Unit１４
1396,turn out to be,〜であることがわかる,Unit１４
1397,turn over,〜をひっくり返す,Unit１４
1398,be known for,〜のことで有名だ,Unit１４
1399,be unable to,…することができない,Unit１４
1400,be used to (-ing),…することに慣れている,Unit１４
1401,be willing to,…してもかまわない/…する気がある,Unit１５
1402,as ~ as ever,相変わらず〜で,Unit１５
1403,as usual,いつものように,Unit１５
1404,as well,〜もまた/同じように,Unit１５
1405,at a loss,途方に暮れて/困って,Unit１５
1406,at present,現在/目下,Unit１５
1407,at the age of,〜歳で,Unit１５
1408,before long,間もなく/ほどなく,Unit１５
1409,for a while,しばらくの間,Unit１５
1410,for sure [certain],確かに,Unit１５
1411,for the sake of,〜のために,Unit１５
1412,in a [one] way,ある意味で,Unit１５
1413,in danger of,〜の恐れがあって,Unit１５
1414,in (actual) fact,実際には,Unit１５
1415,in turn,順番に/交替で,Unit１５
1416,little by little,少しずつ,Unit１５
1417,no doubt,きっと,Unit１５
1418,one after another [the other],次々と,Unit１５
1419,right away [off],直ちに/すぐに,Unit１５
1420,so far,これまでのところ,Unit１５
1421,the other day,先日,Unit１５
1422,to one’s surprise,〜が驚いたことに,Unit１５
1423,as [so] far as,…する限りは,Unit１５
1424,as many [much] as,〜も多くの,Unit１５
1425,both A and B,AもBも,Unit１５
1426,either A or B,AかBのどちらか,Unit１５
1427,each other,お互い,Unit１５
1428,every other,〜ごとに/〜おきに,Unit１５
1429,something is wrong with,〜はどこか調子が悪い,Unit１５
1430,What is ~ like?,〜はどのようなもの［人］ですか,Unit１５
1431,spend,費やす/使う,Unit１５
1432,increase,増える,Unit１５
1433,decrease,減る,Unit１５
1434,improve,改善する/向上させる,Unit１５
1435,provide,提供［供給］する,Unit１５
1436,include,含む,Unit１５
1437,develop,発達［発展］させる,Unit１５
1438,receive,受け取る/受ける,Unit１５
1439,explain,説明する,Unit１５
1440,lead,至る/導く,Unit１５
1441,perform,うまくいく/機能する,Unit１５
1442,realize,気づく/認識する,Unit１５
1443,produce,引き起こす/もたらす,Unit１５
1444,participate,参加する,Unit１５
1445,suggest,示す/暗示する,Unit１５
1446,encourage,促進する/奨励する,Unit１５
1447,apply,当てはまる,Unit１５
1448,affect,影響する,Unit１５
1449,recognize,わかる/識別する,Unit１５
1450,require,要求する,Unit１５
1451,maintain,維持する,Unit１５
1452,tend,…する傾向がある/…しがちである,Unit１５
1453,contain,含む,Unit１５
1454,represent,表す/象徴する,Unit１５
1455,reach,に届く/達する,Unit１５
1456,mention,話に出す/言及する,Unit１５
1457,focus,集中する/焦点を合わせる,Unit１５
1458,rent,（有料で）借りる,Unit１５
1459,guess,推測する,Unit１５
1460,add,加える,Unit１５
1461,delay,遅らせる,Unit１５
1462,select,選び出す,Unit１５
1463,system,（体系的）方法/方式,Unit１５
1464,experience,経験/体験,Unit１５
1465,activity,活動,Unit１５
1466,program,計画/プログラム,Unit１５
1467,care,注意,Unit１５
1468,situation,状況/事態,Unit１５
1469,research,研究/調査,Unit１５
1470,passage,（本・音楽などの）一節,Unit１５
1471,factor,要因/要素,Unit１５
1472,value,価値,Unit１５
1473,influence,影響/影響力,Unit１５
1474,author,著者/作者,Unit１５
1475,role,役割,Unit１５
1476,average,平均,Unit１５
1477,friendship,交友関係,Unit１５
1478,view,意見/考え,Unit１５
1479,result,結果,Unit１５
1480,surface,外見/うわべ,Unit１５
1481,rate,割合/比率,Unit１５
1482,process,過程,Unit１５
1483,topic,話題/トピック,Unit１５
1484,variety,種類,Unit１５
1485,risk,危険/リスク,Unit１５
1486,amount,量/合計,Unit１５
1487,skill,技能/技術,Unit１５
1488,period,期間,Unit１５
1489,center,中心,Unit１５
1490,sense,感覚,Unit１５
1491,opportunity,機会,Unit１５
1492,effect,影響/効果,Unit１５
1493,public,大衆/一般の人々,Unit１５
1494,transportation,交通機関,Unit１５
1495,atmosphere,雰囲気,Unit１５
1496,attention,注意/注意力,Unit１５
1497,space,場所/空間,Unit１５
1498,behavior,振る舞い/行儀,Unit１５
1499,object,物/物体,Unit１５
1500,company,会社,Unit１５
1501,field,分野/領域,Unit１６
1502,following,次の/以下の,Unit１６
1503,various,さまざまな/多様な,Unit１６
1504,several,いくつかの,Unit１６
1505,local,地元の/現地の,Unit１６
1506,related,関連して,Unit１６
1507,possible,可能な,Unit１６
1508,similar,似ている/同様の,Unit１６
1509,concerned,心配して,Unit１６
1510,available,利用できる/手に入る,Unit１６
1511,dry,雨の少ない/乾燥した,Unit１６
1512,past,過ぎたばかりの/この前の,Unit１６
1513,modern,近代的な/最新の,Unit１６
1514,unique,特有の,Unit１６
1515,common,よくある/普通の,Unit１６
1516,prepare,準備［用意］する,Unit１６
1517,regard,（〜と）思う/考える,Unit１６
1518,occur,（予期せず）起こる,Unit１６
1519,suppose,だと思う/考える,Unit１６
1520,serve,（食事を）出す,Unit１６
1521,wonder,だろうかと思う,Unit１６
1522,reduce,減らす,Unit１６
1523,promote,促進する,Unit１６
1524,survive,生き延びる/切り抜ける,Unit１６
1525,gain,得る,Unit１６
1526,devide,分ける/分かれる,Unit１６
1527,attract,引き寄せる,Unit１６
1528,achieve,達成する,Unit１６
1529,fit,適する/合致する,Unit１６
1530,reveal,明らかにする,Unit１６
1531,wish,願う,Unit１６
1532,fill,満たす,Unit１６
1533,hurt,傷つける/害する,Unit１６
1534,discover,知る/わかる,Unit１６
1535,indicate,示す,Unit１６
1536,overcome,克服する/打ち勝つ,Unit１６
1537,protect,守る/保護する,Unit１６
1538,remove,取り去る/移動させる,Unit１６
1539,rely,当てにする/頼る,Unit１６
1540,bother,わざわざ…する/悩ませる,Unit１６
1541,seek,追い求める,Unit１６
1542,matter,重要［問題］だ,Unit１６
1543,concentrate,集中する/専念する,Unit１６
1544,react,反応［対応］する,Unit１６
1545,struggle,奮闘する,Unit１６
1546,admit,（しぶしぶ）認める,Unit１６
1547,lock,しまい込む/閉じ込める,Unit１６
1548,issue,問題/問題点,Unit１６
1549,relationship,関係,Unit１６
1550,list,リスト/一覧,Unit１６
1551,item,１品/１点,Unit１６
1552,distance,距離,Unit１６
1553,case,場合,Unit１６
1554,opinion,意見/見解,Unit１６
1555,century,世紀,Unit１６
1556,trouble,困難/困ったこと,Unit１６
1557,total,合計,Unit１６
1558,advantage,有利な点/強み,Unit１６
1559,detail,細部,Unit１６
1560,moment,時点,Unit１６
1561,bill,請求書,Unit１６
1562,rest,残り/休み,Unit１６
1563,deal,量/取引,Unit１６
1564,feature,特徴,Unit１６
1565,survey,調査,Unit１６
1566,destination,目的地/行き先,Unit１６
1567,conclusion,結論,Unit１６
1568,attitude,態度/考え方,Unit１６
1569,impact,影響/衝撃,Unit１６
1570,source,源,Unit１６
1571,row,列/並び,Unit１６
1572,assistant,助手/補佐,Unit１６
1573,impression,印象,Unit１６
1574,noise,騒音,Unit１６
1575,sign,兆し/表れ,Unit１６
1576,aim,目的/目標,Unit１６
1577,occasion,（特定の）時/機会,Unit１６
1578,relation,関係/関連,Unit１６
1579,signal,合図,Unit１６
1580,balance,バランス/均衡,Unit１６
1581,track,小道,Unit１６
1582,symbol,象徴/シンボル,Unit１６
1583,circle,円/仲間,Unit１６
1584,leisure,余暇/自由な時間,Unit１６
1585,angle,角度/観点,Unit１６
1586,comfortable,快適な,Unit１６
1587,recent,最近の,Unit１６
1588,real,現実の/実在する,Unit１６
1589,dangerous,危険な,Unit１６
1590,current,現在の/今の,Unit１６
1591,final,最後の,Unit１６
1592,obvious,明らかな,Unit１６
1593,fair,妥当な/適正な,Unit１６
1594,proud,誇りに思って,Unit１６
1595,anxious,切望して/心配して,Unit１６
1596,impossible,不可能な,Unit１６
1597,opposite,反対側の/向かい側の,Unit１６
1598,terrible,ひどい/恐ろしい,Unit１６
1599,thick,厚い,Unit１６
1600,narrow,狭い/細い,Unit１６
1601,actually,実際に/実は,Unit１７
1602,especially,特に/とりわけ,Unit１７
1603,perhaps,もしかしたら,Unit１７
1604,fortunately,幸運にも,Unit１７
1605,less,より少なく,Unit１７
1606,least,最も〜でない,Unit１７
1607,abroad,外国に［で］,Unit１７
1608,overseas,海外へ［に/で］,Unit１７
1609,rather,むしろ,Unit１７
1610,probably,たぶん,Unit１７
1611,easily,たやすく/簡単に,Unit１７
1612,quite,かなり,Unit１７
1613,exactly,正確に/まさに,Unit１７
1614,instead,その代わりに,Unit１７
1615,immediately,直ちに,Unit１７
